Index,LCSC#,MPN,Manufacturer,Package,,Description,,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
90,C5261157,L327S240V11L,Lucki,SMD3225-4P,,Crystal 24MHz ±10ppm 22pF SMD3225-4P,,10,10,10,0.0312,0.31,https://www.lcsc.com/product-detail/C5261157.html
91,C53207149,USB2.0-AF-SS-17.6,BXCONN,Through Hole,,"USB 2.0 Through Hole USB, DVI, HDMI Connector Adapters RoHS",,5,5,5,0.0657,0.33,https://www.lcsc.com/product-detail/C53207149.html
92,C53121380,HMT-MICRO USB B,HMTCONN,SMD,,"SMD USB, DVI, HDMI Connector Adapters RoHS",,5,5,5,0.0704,0.35,https://www.lcsc.com/product-detail/C53121380.html
93,C50132329,OT1EL89CJI-111YLC-24.576M,YXC Crystal Oscillators,SMD5032-4P,,Oscillator 24.576MHz ±10ppm CMOS 1.8V~3.3V SMD5032-4P,,2,1,1,0.6303,1.26,https://www.lcsc.com/product-detail/C50132329.html
94,C216361,TNK QT24A03,Transformers,SMD,,1:1 SMD Pulse Transformers RoHS,,1,1,2,1.1467,2.3,https://www.lcsc.com/product-detail/C216361.html?s_z=n_q_C216361&globalKeyword=C216361
95,,CM4 COMPUTE MODULE,,,,"2GB RAM, 16GB onboard emmc, wireless, heatsink + antenna",,1,1,1,,110,Probably Seed Studio
96,,MICRO SD CARD,,,,32GB for additional files,,1,1,1,,0,https://www.startech.com.bd/product/search?search=Sd%20card
97,,PCBA,,,,JLCPCB,,,,,,100+-20,Lemme try and get a sponsorship
,,,,,,,,,,,,,
,,SHIPPING,,,,LCSC+JLCPCB+XIAO (Singapore Post+ E-Post + Fedex),,,,,,80,
,,,,,,E,,,,,,0,
,,,,,,,,,,,,,
,,,,,,Total ( It will be more by the way I didn't include the service charge of the assembly. Please JLCPCB I need these),,,,,,429.19,
